flower_photos\sunflowers\1022552036_67d33d5bd8_n.jpg	sunflowers	training
flower_photos\sunflowers\10386503264_e05387e1f7_m.jpg	sunflowers	training
flower_photos\sunflowers\10386522775_4f8c616999_m.jpg	sunflowers	training
flower_photos\sunflowers\10386525005_fd0b7d6c55_n.jpg	sunflowers	training
flower_photos\sunflowers\10386525695_2c38fea555_n.jpg	sunflowers	validation
flower_photos\sunflowers\10386540106_1431e73086_m.jpg	sunflowers	testing
flower_photos\sunflowers\10386540696_0a95ee53a8_n.jpg	sunflowers	testing
flower_photos\sunflowers\10386702973_e74a34c806_n.jpg	sunflowers	testing
flower_photos\sunflowers\1044296388_912143e1d4.jpg	sunflowers	testing
flower_photos\sunflowers\10862313945_e8ed9202d9_m.jpg	sunflowers	testing
flower_photos\sunflowers\1217254584_4b3028b93d.jpg	sunflowers	testing
flower_photos\sunflowers\12282924083_fb80aa17d4_n.jpg	sunflowers	testing
flower_photos\sunflowers\1240624822_4111dde542.jpg	sunflowers	testing
flower_photos\sunflowers\1240625276_fb3bd0c7b1.jpg	sunflowers	testing
flower_photos\sunflowers\1240626292_52cd5d7fb1_m.jpg	sunflowers	testing
flower_photos\sunflowers\1244774242_25a20d99a9.jpg	sunflowers	testing
flower_photos\sunflowers\12471290635_1f9e3aae16_n.jpg	sunflowers	testing
flower_photos\sunflowers\12471441503_d188b5f31a_m.jpg	sunflowers	testing
flower_photos\sunflowers\12471443383_b71e7a7480_m.jpg	sunflowers	testing
flower_photos\sunflowers\12471791574_bb1be83df4.jpg	sunflowers	testing
flower_photos\sunflowers\1267876087_a1b3c63dc9.jpg	sunflowers	testing
flower_photos\sunflowers\127192624_afa3d9cb84.jpg	sunflowers	testing
flower_photos\sunflowers\13095941995_9a66faa713_n.jpg	sunflowers	testing
flower_photos\sunflowers\13096076565_72c2c60875_n.jpg	sunflowers	testing
flower_photos\sunflowers\13354458753_7b586f7c95_n.jpg	sunflowers	testing
flower_photos\sunflowers\13648603305_1268eda8b7_n.jpg	sunflowers	testing
flower_photos\sunflowers\13959937305_2f5c532886_n.jpg	sunflowers	testing
flower_photos\sunflowers\14121915990_4b76718077_m.jpg	sunflowers	testing
flower_photos\sunflowers\14144522269_bc20029375_m.jpg	sunflowers	testing
flower_photos\sunflowers\1419608016_707b887337_n.jpg	sunflowers	testing
flower_photos\sunflowers\14244273988_a7484f18b7_m.jpg	sunflowers	testing
flower_photos\sunflowers\14244410747_22691ece4a_n.jpg	sunflowers	testing
flower_photos\sunflowers\14266917699_91b207888e.jpg	sunflowers	testing
flower_photos\sunflowers\14348961225_09bd803317_n.jpg	sunflowers	testing
flower_photos\sunflowers\14397276020_49f9423614.jpg	sunflowers	testing
flower_photos\sunflowers\14460075029_5cd715bb72_m.jpg	sunflowers	testing
flower_photos\sunflowers\14460081668_eda8795693_m.jpg	sunflowers	testing
flower_photos\sunflowers\14472246629_72373111e6_m.jpg	sunflowers	testing
flower_photos\sunflowers\145303599_2627e23815_n.jpg	sunflowers	testing
flower_photos\sunflowers\14623719696_1bb7970208_n.jpg	sunflowers	testing
flower_photos\sunflowers\14623720226_aeeac66e0a_n.jpg	sunflowers	testing
flower_photos\sunflowers\14646280372_dd50be16e4_n.jpg	sunflowers	testing
flower_photos\sunflowers\14646283472_50a3ae1395.jpg	sunflowers	testing
flower_photos\sunflowers\14678298676_6db8831ee6_m.jpg	sunflowers	testing
flower_photos\sunflowers\14698136411_23bdcff7bf_n.jpg	sunflowers	testing
flower_photos\sunflowers\14741813010_5d44e33088_n.jpg	sunflowers	testing
flower_photos\sunflowers\14741813110_94964c39e2_n.jpg	sunflowers	testing
flower_photos\sunflowers\14741907467_fab96f3b2b_n.jpg	sunflowers	testing
flower_photos\sunflowers\147804446_ef9244c8ce_m.jpg	sunflowers	testing
flower_photos\sunflowers\14814264272_4b39a102f9_n.jpg	sunflowers	testing
flower_photos\sunflowers\1484598527_579a272f53.jpg	sunflowers	testing
flower_photos\sunflowers\1485456230_58d8e45e88.jpg	sunflowers	testing
flower_photos\sunflowers\14881304632_54a9dfb8be.jpg	sunflowers	testing
flower_photos\sunflowers\14889392928_9742aed45b_m.jpg	sunflowers	testing
flower_photos\sunflowers\14889779907_3d401bbac7_m.jpg	sunflowers	testing
flower_photos\sunflowers\14921668662_3ffc5b9db3_n.jpg	sunflowers	testing
flower_photos\sunflowers\14925397351_c7f209d804_n.jpg	sunflowers	testing
